Season,BeforeRound,TeamName,Points,Position
2018,2,Ferrari,40.0,1
2018,2,Mercedes,22.0,2
2018,2,Red Bull Racing,20.0,3
2018,2,McLaren,12.0,4
2018,2,Renault,7.0,5
2018,2,Force India,0.0,6
2018,2,Sauber,0.0,6
2018,2,Williams,0.0,6
2018,2,Toro Rosso,0.0,6
2018,2,Haas F1 Team,0.0,6
2018,3,Ferrari,65.0,1
2018,3,Mercedes,55.0,2
2018,3,McLaren,22.0,3
2018,3,Red Bull Racing,20.0,4
2018,3,Renault,15.0,5
2018,3,Toro Rosso,12.0,6
2018,3,Haas F1 Team,10.0,7
2018,3,Sauber,2.0,8
2018,3,Force India,1.0,9
2018,3,Williams,0.0,10
2018,4,Mercedes,85.0,1
2018,4,Ferrari,84.0,2
2018,4,Red Bull Racing,55.0,3
2018,4,McLaren,28.0,4
2018,4,Renault,25.0,5
2018,4,Toro Rosso,12.0,6
2018,4,Haas F1 Team,11.0,7
2018,4,Sauber,2.0,8
2018,4,Force India,1.0,9
2018,4,Williams,0.0,10
2018,5,Ferrari,114.0,1
2018,5,Mercedes,110.0,2
2018,5,Red Bull Racing,55.0,3
2018,5,McLaren,36.0,4
2018,5,Renault,35.0,5
2018,5,Force India,16.0,6
2018,5,Toro Rosso,13.0,7
2018,5,Haas F1 Team,11.0,8
2018,5,Sauber,10.0,9
2018,5,Williams,4.0,10
2018,6,Mercedes,153.0,1
2018,6,Ferrari,126.0,2
2018,6,Red Bull Racing,80.0,3
2018,6,Renault,41.0,4
2018,6,McLaren,40.0,5
2018,6,Haas F1 Team,19.0,6
2018,6,Force India,18.0,7
2018,6,Toro Rosso,13.0,8
2018,6,Sauber,11.0,9
2018,6,Williams,4.0,10
2018,7,Mercedes,178.0,1
2018,7,Ferrari,156.0,2
2018,7,Red Bull Racing,107.0,3
2018,7,Renault,46.0,4
2018,7,McLaren,40.0,5
2018,7,Force India,26.0,6
2018,7,Toro Rosso,19.0,7
2018,7,Haas F1 Team,19.0,7
2018,7,Sauber,11.0,9
2018,7,Williams,4.0,10
2018,8,Mercedes,206.0,1
2018,8,Ferrari,189.0,2
2018,8,Red Bull Racing,134.0,3
2018,8,Renault,56.0,4
2018,8,McLaren,40.0,5
2018,8,Force India,28.0,6
2018,8,Toro Rosso,19.0,7
2018,8,Haas F1 Team,19.0,7
2018,8,Sauber,12.0,9
2018,8,Williams,4.0,10
2018,9,Mercedes,237.0,1
2018,9,Ferrari,214.0,2
2018,9,Red Bull Racing,164.0,3
2018,9,Renault,62.0,4
2018,9,McLaren,40.0,5
2018,9,Force India,28.0,6
2018,9,Haas F1 Team,27.0,7
2018,9,Toro Rosso,19.0,8
2018,9,Sauber,13.0,9
2018,9,Williams,4.0,10
2018,10,Ferrari,247.0,1
2018,10,Mercedes,237.0,2
2018,10,Red Bull Racing,189.0,3
2018,10,Renault,62.0,4
2018,10,Haas F1 Team,49.0,5
2018,10,McLaren,44.0,6
2018,10,Force India,42.0,7
2018,10,Toro Rosso,19.0,8
2018,10,Sauber,16.0,9
2018,10,Williams,4.0,10
2018,11,Ferrari,287.0,1
2018,11,Mercedes,267.0,2
2018,11,Red Bull Racing,199.0,3
2018,11,Renault,70.0,4
2018,11,Haas F1 Team,51.0,5
2018,11,Force India,49.0,6
2018,11,McLaren,48.0,7
2018,11,Toro Rosso,19.0,8
2018,11,Sauber,16.0,9
2018,11,Williams,4.0,10
2018,12,Mercedes,310.0,1
2018,12,Ferrari,302.0,2
2018,12,Red Bull Racing,211.0,3
2018,12,Renault,80.0,4
2018,12,Force India,59.0,5
2018,12,Haas F1 Team,59.0,5
2018,12,McLaren,48.0,7
2018,12,Toro Rosso,20.0,8
2018,12,Sauber,18.0,9
2018,12,Williams,4.0,10
2018,13,Mercedes,345.0,1
2018,13,Ferrari,335.0,2
2018,13,Red Bull Racing,223.0,3
2018,13,Renault,82.0,4
2018,13,Haas F1 Team,66.0,5
2018,13,Force India,59.0,6
2018,13,McLaren,52.0,7
2018,13,Toro Rosso,28.0,8
2018,13,Sauber,18.0,9
2018,13,Williams,4.0,10
2018,14,Mercedes,375.0,1
2018,14,Ferrari,360.0,2
2018,14,Red Bull Racing,238.0,3
2018,14,Renault,82.0,4
2018,14,Haas F1 Team,76.0,5
2018,14,Force India,59.0,6
2018,14,McLaren,52.0,7
2018,14,Toro Rosso,30.0,8
2018,14,Sauber,19.0,9
2018,14,Racing Point,18.0,10
2018,14,Williams,4.0,11
2018,15,Mercedes,415.0,1
2018,15,Ferrari,390.0,2
2018,15,Red Bull Racing,248.0,3
2018,15,Renault,86.0,4
2018,15,Haas F1 Team,76.0,5
2018,15,Force India,59.0,6
2018,15,McLaren,52.0,7
2018,15,Racing Point,32.0,8
2018,15,Toro Rosso,30.0,9
2018,15,Sauber,19.0,10
2018,15,Williams,7.0,11
2018,16,Mercedes,452.0,1
2018,16,Ferrari,415.0,2
2018,16,Red Bull Racing,274.0,3
2018,16,Renault,91.0,4
2018,16,Haas F1 Team,76.0,5
2018,16,Force India,59.0,6
2018,16,McLaren,58.0,7
2018,16,Racing Point,32.0,8
2018,16,Toro Rosso,30.0,9
2018,16,Sauber,21.0,10
2018,16,Williams,7.0,11
2018,17,Mercedes,495.0,1
2018,17,Ferrari,442.0,2
2018,17,Red Bull Racing,292.0,3
2018,17,Renault,91.0,4
2018,17,Haas F1 Team,80.0,5
2018,17,Force India,59.0,6
2018,17,McLaren,58.0,7
2018,17,Racing Point,35.0,8
2018,17,Toro Rosso,30.0,9
2018,17,Sauber,27.0,10
2018,17,Williams,7.0,11
2018,18,Mercedes,538.0,1
2018,18,Ferrari,460.0,2
2018,18,Red Bull Racing,319.0,3
2018,18,Renault,92.0,4
2018,18,Haas F1 Team,84.0,5
2018,18,Force India,59.0,6
2018,18,McLaren,58.0,7
2018,18,Racing Point,43.0,8
2018,18,Toro Rosso,30.0,9
2018,18,Sauber,27.0,10
2018,18,Williams,7.0,11
2018,19,Mercedes,563.0,1
2018,19,Ferrari,497.0,2
2018,19,Red Bull Racing,337.0,3
2018,19,Renault,106.0,4
2018,19,Haas F1 Team,84.0,5
2018,19,Force India,59.0,6
2018,19,McLaren,58.0,7
2018,19,Racing Point,47.0,8
2018,19,Toro Rosso,32.0,9
2018,19,Sauber,28.0,10
2018,19,Williams,7.0,11
2018,20,Mercedes,585.0,1
2018,20,Ferrari,530.0,2
2018,20,Red Bull Racing,362.0,3
2018,20,Renault,114.0,4
2018,20,Haas F1 Team,84.0,5
2018,20,McLaren,62.0,6
2018,20,Force India,59.0,7
2018,20,Racing Point,47.0,8
2018,20,Sauber,36.0,9
2018,20,Toro Rosso,33.0,10
2018,20,Williams,7.0,11
2018,21,Mercedes,620.0,1
2018,21,Ferrari,553.0,2
2018,21,Red Bull Racing,392.0,3
2018,21,Renault,114.0,4
2018,21,Haas F1 Team,90.0,5
2018,21,McLaren,62.0,6
2018,21,Force India,59.0,7
2018,21,Racing Point,48.0,8
2018,21,Sauber,42.0,9
2018,21,Toro Rosso,33.0,10
2018,21,Williams,7.0,11
2019,2,Mercedes,44.0,1
2019,2,Ferrari,22.0,2
2019,2,Red Bull Racing,15.0,3
2019,2,Haas F1 Team,8.0,4
2019,2,Renault,6.0,5
2019,2,Alfa Romeo Racing,4.0,6
2019,2,Racing Point,2.0,7
2019,2,Toro Rosso,1.0,8
2019,2,McLaren,0.0,9
2019,2,Williams,0.0,9
2019,3,Mercedes,87.0,1
2019,3,Ferrari,48.0,2
2019,3,Red Bull Racing,31.0,3
2019,3,Alfa Romeo Racing,10.0,4
2019,3,Haas F1 Team,8.0,5
2019,3,McLaren,8.0,5
2019,3,Renault,6.0,7
2019,3,Racing Point,3.0,8
2019,3,Toro Rosso,3.0,8
2019,3,Williams,0.0,10
2019,4,Mercedes,130.0,1
